EmpresaID,Ano,ReceitaLiquida,LucroLiquido,PatrimonioLiquido,AtivoTotal,NumeroAcoes
1,2023,207800,39800,188000,420000,4539000000
1,2024,212000,35000,192000,430000,4539000000
1,2025,205000,32000,190000,425000,4539000000
2,2023,511900,124600,382000,1060000,13044000000
2,2024,490000,105000,390000,1080000,13044000000
2,2025,480000,98000,395000,1090000,13044000000
3,2023,32500,5700,17500,35000,4197000000
3,2024,38000,6800,20500,41000,4197000000
3,2025,43500,7900,24000,47000,4197000000
4,2023,79700,14800,92000,140000,15730000000
4,2024,82500,15200,95000,143000,15730000000
4,2025,85000,15800,98000,146000,15730000000
5,2023,28900,1800,25800,6800,1060000000
5,2024,34500,2100,27500,75000,1060000000
5,2025,39000,2500,29500,82000,1060000000
